period,rank,country,total export value(1000NTD),percentage
2023,1,中國大陸,2985881366,22.15
2023,2,美國,2381262482,17.66
2023,3,香港,1760402638,13.06
2023,4,日本,978184647,7.26
2023,5,新加坡,927971926,6.88
2023,6,南韓,566658247,4.2
2023,7,馬來西亞,472874238,3.51
2023,8,荷蘭,403065438,2.99
2023,9,越南,365712714,2.71
2023,10,泰國,339611255,2.52
2023,11,德國,253300529,1.88
2023,12,印度,187162941,1.39
2023,13,澳大利亞,180388466,1.34
2023,14,菲律賓,157366187,1.17
2023,15,墨西哥,148165246,1.1
2023,16,英國,112826873,0.84
2023,17,印尼,93789772,0.7
2023,18,比利時,82052862,0.61
2023,19,加拿大,82049721,0.61
2023,20,義大利,74982004,0.56
2023,21,法國,55955009,0.42
2023,22,阿拉伯聯合大公國,48466348,0.36
2023,23,土耳其,45741645,0.34
2023,24,波蘭,44374195,0.33
2023,25,西班牙,43416578,0.32
2023,26,巴西,37782514,0.28
2023,27,以色列,31543638,0.23
2023,28,沙烏地阿拉伯,31133587,0.23
2023,29,孟加拉,29815063,0.22
2023,30,愛爾蘭,26846857,0.2
