Year/Months,Total (1000 USD),1. Animals and Animal Products (1000 USD),2. Plant Products (1000 USD),3. Animal and Vegetable Fats (1000 USD),"4. Prepared Foods, Beverages, and Tobacco (1000 USD)",5. Mineral Products (1000 USD),6. Chemicals (1000 USD),7. Plastics and Rubber Products (1000 USD),8. Furs and Products (1000 USD),9. Wood and Wood Products (1000 USD),"10. Pulp, Paper, and Printed Products (1000 USD)",11. Textiles (1000 USD),"12. Shoes, Hats, and Accessories (1000 USD)",13. Non-Metallic Mineral Products (1000 USD),14. Jewelry and Precious Metal Products (1000 USD),15. Basic Metals and Products (1000 USD),16. Machinery and Electrical Equipment (1000 USD),17. Transport Equipment (1000 USD),18. Optical and Precision Instruments (1000 USD),19. Others (1000 USD)
112年 1月,5363014,11226,9493,2314,39841,27312,171275,272198,10508,4466,20796,50405,8047,27231,3551,691079,3207810,397718,197434,210310
112年 2月,4732625,8925,8407,950,31683,45635,282987,196218,6248,3544,16907,37374,5013,24363,5768,479019,2959308,297875,172834,149567
112年 3月,5502593,10765,9746,1858,46906,62441,126229,244702,6386,3380,21978,44791,6345,31969,5015,580127,3559217,341175,201729,197834
112年 4月,5593391,11959,11730,1772,53957,70563,135388,275056,7442,3950,22417,52273,7335,31900,7473,570524,3556739,374866,184441,213606
112年 5月,6073690,11697,12314,1758,65674,44225,124226,298635,11282,3481,24155,56816,7234,36926,14084,638003,3897824,398894,192731,233731
112年 6月,5194364,12207,10821,1340,57108,30682,135260,256107,7015,2751,16863,56231,7851,29020,9050,546950,3277589,318561,192970,225988
112年 7月,6725402,11444,12813,1810,50922,39177,156614,254580,10098,2881,20026,56711,7806,28938,10698,571053,4713268,325187,232899,218477
112年 8月,6658924,12546,12261,1489,54315,28538,169076,288664,9499,3142,22937,58638,8345,35915,8173,575837,4556215,365557,188820,258957
112年 9月,6897116,12420,12091,1533,45023,50270,253918,249642,8389,3385,21049,44292,7483,30279,10074,552961,4844977,332703,187317,229310
112年 10月,7181631,12214,10024,1378,48693,3061,105303,247150,8842,3512,21258,41825,5796,30491,10370,501470,5460909,315220,150044,204071
112年 11月,7822063,11549,11610,1822,55637,581,127650,256061,6475,3769,22753,46762,7689,29731,12710,559589,5936090,322880,187011,221694
112年 12月,8489225,11435,10566,1826,54388,1270,138712,273314,10909,3467,20984,48626,5924,30905,8885,656500,6448740,335690,193953,233131
